%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1992000000,0,1992000000,map,-8.87179794518e-07,1.81477025762e-06,1.58887485213e-06,0.0,0.0,0.0,1.0
2028000000,1,2028000000,map,-1.92448374037e-06,9.19872491068e-06,-0.000117050389235,0.00874319579474,-0.0114118012165,0.0227751875578,-0.999637309254
2060000000,2,2060000000,map,-7.19516083336e-06,-4.44765282737e-06,-0.00258698640391,0.0086921961324,-0.011516085032,0.0228540443113,-0.999634738297
2092000000,3,2092000000,map,5.25749373992e-06,-3.11101248371e-05,-0.00732050929219,0.00867891493604,-0.0115911706305,0.0229267897719,-0.999632293779
2128000000,4,2128000000,map,5.39774373465e-05,-8.70980147738e-05,-0.0131492875516,0.00865924454086,-0.0117488930279,0.023066127253,-0.999627404745
2160000000,5,2160000000,map,9.3623297289e-05,-0.000130727334181,-0.0167451687157,0.00863527483786,-0.0119435996143,0.0231889431696,-0.99962251571
2192000000,6,2192000000,map,0.000170147992321,-0.000189916376257,-0.0197413004935,0.00863080364992,-0.0120588195492,0.0232449563313,-0.999619860459
2228000000,7,2228000000,map,0.000285685411654,-0.000276315229712,-0.0220396425575,0.00859103892153,-0.0121969826809,0.0232896741375,-0.999617458089
2260000000,8,2260000000,map,0.000387386127841,-0.000338723155437,-0.0232175029814,0.00857007037049,-0.0123616390581,0.0232946896125,-0.999615477187
2292000000,9,2292000000,map,0.000533120997716,-0.00041905339458,-0.0229328516871,0.00854761383813,-0.0124532914961,0.0233167324143,-0.999614086341
2332000000,10,2332000000,map,0.000780699308962,-0.000552830111701,-0.0232203174382,0.00850853778266,-0.0126484715759,0.0233320738671,-0.99961155753
2360000000,11,2360000000,map,0.00100090214983,-0.000652269169223,-0.0230877380818,0.00846790196452,-0.0128223546556,0.0233554232212,-0.999609113013
2392000000,12,2392000000,map,0.00130737957079,-0.000755655928515,-0.0208358187228,0.0084854860907,-0.0129079328437,0.0233519250328,-0.999607975048
2428000000,13,2428000000,map,0.0015890034847,-0.000807684496976,-0.0180846825242,0.00848466801379,-0.0130182655552,0.0233983708599,-0.999605446237
2460000000,14,2460000000,map,0.00202500261366,-0.000862238463014,-0.0145606659353,0.00842325939696,-0.0131448924688,0.0234017004609,-0.999604223978
2492000000,15,2492000000,map,0.0024278217461,-0.000899305276107,-0.0122526735067,0.00842513312072,-0.0132215593973,0.0233935239723,-0.999603465335
2524000000,16,2524000000,map,0.00282801222056,-0.000923381827306,-0.01021507103,0.00841766654309,-0.0133808468258,0.023409750509,-0.999600978671
2560000000,17,2560000000,map,0.0034767347388,-0.000929669244215,-0.00628603203222,0.00850415418114,-0.0133788899608,0.0234211723049,-0.999600009293
2592000000,18,2592000000,map,0.00405641412362,-0.00091158907162,-0.00226818840019,0.00866490176745,-0.0132331571892,0.0233936925597,-0.999601273699
2624000000,19,2624000000,map,0.00457185413688,-0.000884712557308,0.000722132564988,0.00889501730415,-0.0131022237238,0.0233166902674,-0.999602748839
2660000000,20,2660000000,map,0.00528680766001,-0.000823528505862,0.00389119423926,0.00891959220955,-0.0131243817709,0.0232518684144,-0.999603676069
2692000000,21,2692000000,map,0.0059489547275,-0.000765679520555,0.00689881714061,0.00900620645279,-0.0130997392,0.0232013343431,-0.999604476859
2728000000,22,2728000000,map,0.00686790328473,-0.000698289135471,0.0109473979101,0.00904709696301,-0.0131541058358,0.0231760040871,-0.999604013244
2760000000,23,2760000000,map,0.00755828572437,-0.000651051930618,0.0134739549831,0.00907622932568,-0.0132281779342,0.0231922306238,-0.999602369517
2792000000,24,2792000000,map,0.00841587316245,-0.00059565709671,0.0167724322528,0.00906732070022,-0.0132649719683,0.0231923570643,-0.999601905902
2828000000,25,2828000000,map,0.00946591887623,-0.000501078262459,0.0214842148125,0.00906324710853,-0.0133923883122,0.0232827199075,-0.999598196979
2860000000,26,2860000000,map,0.0100502390414,-0.00040966423694,0.0241197273135,0.00908548500411,-0.013502507326,0.0234070952575,-0.999593602972
2892000000,27,2892000000,map,0.0108421584591,-0.000313411117531,0.0280390512198,0.00910253241651,-0.0135662027386,0.0234542154341,-0.999591411336
2928000000,28,2928000000,map,0.0119157629088,-0.000197220520931,0.0330464988947,0.00914350787898,-0.0136717165507,0.0236251209048,-0.999585637218
2956000000,29,2956000000,map,0.0127220265567,-0.000121917328215,0.035668130964,0.00917105973483,-0.0137666328999,0.0237687995114,-0.999580706037
2992000000,30,2992000000,map,0.0137574886903,-4.88931837026e-05,0.0383692570031,0.00918507685469,-0.0138304267649,0.0238442845171,-0.999577882198
3028000000,31,3028000000,map,0.0146930105984,2.94922647299e-05,0.0400724895298,0.00922141830409,-0.0139280675128,0.0239654145597,-0.999573246045
3064000000,32,3064000000,map,0.0157682746649,0.000152549648192,0.0422142408788,0.00927100868117,-0.0140177250548,0.0240812340994,-0.999568778479
3092000000,33,3092000000,map,0.0166762713343,0.000256761530181,0.0433225482702,0.00930166639756,-0.0140760077255,0.0241751372779,-0.999565406731
3128000000,34,3128000000,map,0.0178973302245,0.000403097976232,0.0449009016156,0.00930670294596,-0.0142094578188,0.0243328086382,-0.999559632612
3160000000,35,3160000000,map,0.0188125204295,0.000502070528455,0.0455049984157,0.00931654868026,-0.014299270942,0.0244705023923,-0.999554870019
3192000000,36,3192000000,map,0.0200406610966,0.000605744076893,0.0464380420744,0.00932066590052,-0.0143482640192,0.0245450180204,-0.999552341208
